,ppm,Feature Name
3588,1.75495099,1.75495099
3589,1.75275055,1.75275055
3590,1.75055011,1.75055011
3591,1.74834967,1.74834967
3592,1.74614923,1.74614923
3593,1.74394879,1.74394879
3594,1.74174835,1.74174835
3595,1.73954791,1.73954791
3596,1.737347469,1.737347469
3597,1.735147029,1.735147029
3598,1.732946589,1.732946589
3599,1.730746149,1.730746149
3600,1.728545709,1.728545709
3601,1.726345269,1.726345269
3602,1.724144829,1.724144829
3603,1.721944389,1.721944389
3604,1.719743949,1.719743949
3605,1.717543509,1.717543509
3606,1.715343069,1.715343069
3607,1.713142629,1.713142629
3608,1.710942188,1.710942188
3609,1.708741748,1.708741748
3610,1.706541308,1.706541308
3611,1.704340868,1.704340868
3612,1.702140428,1.702140428
3613,1.699939988,1.699939988
3614,1.697739548,1.697739548
3615,1.695539108,1.695539108
3616,1.693338668,1.693338668
3617,1.691138228,1.691138228
3618,1.688937788,1.688937788
3619,1.686737347,1.686737347
3620,1.684536907,1.684536907
3621,1.682336467,1.682336467
3622,1.680136027,1.680136027
3623,1.677935587,1.677935587
3624,1.675735147,1.675735147
3625,1.673534707,1.673534707
3626,1.671334267,1.671334267
3627,1.669133827,1.669133827
3628,1.666933387,1.666933387
3629,1.664732947,1.664732947
3630,1.662532507,1.662532507
3631,1.660332066,1.660332066
3632,1.658131626,1.658131626
3633,1.655931186,1.655931186
3634,1.653730746,1.653730746
3635,1.651530306,1.651530306
3636,1.649329866,1.649329866
3637,1.647129426,1.647129426
3638,1.644928986,1.644928986
3639,1.642728546,1.642728546
3640,1.640528106,1.640528106
3641,1.638327666,1.638327666
3642,1.636127225,1.636127225
3643,1.633926785,1.633926785
3644,1.631726345,1.631726345
3645,1.629525905,1.629525905
3646,1.627325465,1.627325465
3647,1.625125025,1.625125025
3648,1.622924585,1.622924585
3649,1.620724145,1.620724145
3650,1.618523705,1.618523705
3651,1.616323265,1.616323265
3652,1.614122825,1.614122825
3653,1.611922384,1.611922384
3654,1.609721944,1.609721944
3655,1.607521504,1.607521504
3656,1.605321064,1.605321064
3657,1.603120624,1.603120624
3658,1.600920184,1.600920184
3659,1.598719744,1.598719744
3660,1.596519304,1.596519304
3661,1.594318864,1.594318864
3662,1.592118424,1.592118424
3663,1.589917984,1.589917984
3664,1.587717544,1.587717544
3665,1.585517103,1.585517103
3666,1.583316663,1.583316663
3667,1.581116223,1.581116223
3668,1.578915783,1.578915783
3669,1.576715343,1.576715343
3670,1.574514903,1.574514903
3671,1.572314463,1.572314463
3672,1.570114023,1.570114023
3673,1.567913583,1.567913583
3674,1.565713143,1.565713143
3675,1.563512703,1.563512703
3676,1.561312262,1.561312262
3677,1.559111822,1.559111822
3678,1.556911382,1.556911382
3679,1.554710942,1.554710942
3680,1.552510502,1.552510502
3681,1.550310062,1.550310062
3682,1.548109622,1.548109622
3683,1.545909182,1.545909182
3684,1.543708742,1.543708742
3685,1.541508302,1.541508302
3686,1.539307862,1.539307862
3687,1.537107421,1.537107421
3688,1.534906981,1.534906981
3689,1.532706541,1.532706541
3690,1.530506101,1.530506101
3691,1.528305661,1.528305661
3692,1.526105221,1.526105221
3693,1.523904781,1.523904781
3694,1.521704341,1.521704341
3695,1.519503901,1.519503901
3696,1.517303461,1.517303461
3697,1.515103021,1.515103021
3698,1.512902581,1.512902581
3699,1.51070214,1.51070214
3700,1.5085017,1.5085017
3701,1.50630126,1.50630126
3702,1.50410082,1.50410082
3703,1.50190038,1.50190038
3704,1.49969994,1.49969994
3705,1.4974995,1.4974995
3706,1.49529906,1.49529906
3707,1.49309862,1.49309862
3708,1.49089818,1.49089818
3709,1.48869774,1.48869774
3710,1.486497299,1.486497299
3711,1.484296859,1.484296859
3712,1.482096419,1.482096419
3713,1.479895979,1.479895979
3714,1.477695539,1.477695539
3715,1.475495099,1.475495099
3716,1.473294659,1.473294659
3717,1.471094219,1.471094219
3718,1.468893779,1.468893779
3719,1.466693339,1.466693339
3720,1.464492899,1.464492899
3721,1.462292458,1.462292458
3722,1.460092018,1.460092018
3723,1.457891578,1.457891578
3724,1.455691138,1.455691138
3725,1.453490698,1.453490698
3726,1.451290258,1.451290258
3727,1.449089818,1.449089818
3728,1.446889378,1.446889378
3729,1.444688938,1.444688938
3730,1.442488498,1.442488498
3731,1.440288058,1.440288058
3732,1.438087618,1.438087618
3733,1.435887177,1.435887177
3734,1.433686737,1.433686737
3735,1.431486297,1.431486297
3736,1.429285857,1.429285857
3737,1.427085417,1.427085417
3738,1.424884977,1.424884977
3739,1.422684537,1.422684537
3740,1.420484097,1.420484097
3741,1.418283657,1.418283657
3742,1.416083217,1.416083217
3743,1.413882777,1.413882777
3744,1.411682336,1.411682336
3745,1.409481896,1.409481896
3746,1.407281456,1.407281456
3747,1.405081016,1.405081016
3748,1.402880576,1.402880576
3749,1.400680136,1.400680136
3750,1.398479696,1.398479696
3751,1.396279256,1.396279256
3752,1.394078816,1.394078816
3753,1.391878376,1.391878376
3754,1.389677936,1.389677936
3755,1.387477495,1.387477495
3756,1.385277055,1.385277055
3757,1.383076615,1.383076615
3758,1.380876175,1.380876175
3759,1.378675735,1.378675735
3760,1.376475295,1.376475295
3761,1.374274855,1.374274855
3762,1.372074415,1.372074415
3763,1.369873975,1.369873975
3764,1.367673535,1.367673535
3765,1.365473095,1.365473095
3766,1.363272655,1.363272655
3767,1.361072214,1.361072214
3768,1.358871774,1.358871774
3769,1.356671334,1.356671334
3770,1.354470894,1.354470894
3771,1.352270454,1.352270454
3772,1.350070014,1.350070014
3773,1.347869574,1.347869574
3774,1.345669134,1.345669134
3775,1.343468694,1.343468694
3776,1.341268254,1.341268254
3777,1.339067814,1.339067814
3778,1.336867373,1.336867373
3779,1.334666933,1.334666933
3780,1.332466493,1.332466493
3781,1.330266053,1.330266053
3782,1.328065613,1.328065613
3783,1.325865173,1.325865173
3784,1.323664733,1.323664733
3785,1.321464293,1.321464293
3786,1.319263853,1.319263853
3787,1.317063413,1.317063413
3788,1.314862973,1.314862973
3789,1.312662533,1.312662533
3790,1.310462092,1.310462092
3791,1.308261652,1.308261652
3792,1.306061212,1.306061212
3793,1.303860772,1.303860772
3794,1.301660332,1.301660332
3795,1.299459892,1.299459892
3796,1.297259452,1.297259452
3797,1.295059012,1.295059012
3798,1.292858572,1.292858572
3799,1.290658132,1.290658132
3800,1.288457692,1.288457692
3801,1.286257251,1.286257251
3802,1.284056811,1.284056811
3803,1.281856371,1.281856371
3804,1.279655931,1.279655931
3805,1.277455491,1.277455491
3806,1.275255051,1.275255051
3807,1.273054611,1.273054611
3808,1.270854171,1.270854171
3809,1.268653731,1.268653731
3810,1.266453291,1.266453291
3811,1.264252851,1.264252851
3812,1.26205241,1.26205241
3813,1.25985197,1.25985197
3814,1.25765153,1.25765153
3815,1.25545109,1.25545109
3816,1.25325065,1.25325065
3817,1.25105021,1.25105021
3818,1.24884977,1.24884977
3819,1.24664933,1.24664933
3820,1.24444889,1.24444889
3821,1.24224845,1.24224845
3822,1.24004801,1.24004801
3823,1.23784757,1.23784757
3824,1.235647129,1.235647129
3825,1.233446689,1.233446689
3826,1.231246249,1.231246249
3827,1.229045809,1.229045809
3828,1.226845369,1.226845369
3829,1.224644929,1.224644929
3830,1.222444489,1.222444489
3831,1.220244049,1.220244049
3832,1.218043609,1.218043609
3833,1.215843169,1.215843169
3834,1.213642729,1.213642729
3835,1.211442288,1.211442288
3836,1.209241848,1.209241848
3837,1.207041408,1.207041408
3838,1.204840968,1.204840968
3839,1.202640528,1.202640528
3840,1.200440088,1.200440088
3841,1.198239648,1.198239648
3842,1.196039208,1.196039208
3843,1.193838768,1.193838768
3844,1.191638328,1.191638328
3845,1.189437888,1.189437888
3846,1.187237447,1.187237447
3847,1.185037007,1.185037007
3848,1.182836567,1.182836567
3849,1.180636127,1.180636127
3850,1.178435687,1.178435687
3851,1.176235247,1.176235247
3852,1.174034807,1.174034807
3853,1.171834367,1.171834367
3854,1.169633927,1.169633927
3855,1.167433487,1.167433487
3856,1.165233047,1.165233047
3857,1.163032607,1.163032607
3858,1.160832166,1.160832166
3859,1.158631726,1.158631726
3860,1.156431286,1.156431286
3861,1.154230846,1.154230846
3862,1.152030406,1.152030406
3863,1.149829966,1.149829966
3864,1.147629526,1.147629526
3865,1.145429086,1.145429086
3866,1.143228646,1.143228646
3867,1.141028206,1.141028206
3868,1.138827766,1.138827766
3869,1.136627325,1.136627325
3870,1.134426885,1.134426885
3871,1.132226445,1.132226445
3872,1.130026005,1.130026005
3873,1.127825565,1.127825565
3874,1.125625125,1.125625125
3875,1.123424685,1.123424685
3876,1.121224245,1.121224245
3877,1.119023805,1.119023805
3878,1.116823365,1.116823365
3879,1.114622925,1.114622925
3880,1.112422484,1.112422484
3881,1.110222044,1.110222044
3882,1.108021604,1.108021604
3883,1.105821164,1.105821164
3884,1.103620724,1.103620724
3885,1.101420284,1.101420284
3886,1.099219844,1.099219844
3887,1.097019404,1.097019404
3888,1.094818964,1.094818964
3889,1.092618524,1.092618524
3890,1.090418084,1.090418084
3891,1.088217644,1.088217644
3892,1.086017203,1.086017203
3893,1.083816763,1.083816763
3894,1.081616323,1.081616323
3895,1.079415883,1.079415883
3896,1.077215443,1.077215443
3897,1.075015003,1.075015003
3898,1.072814563,1.072814563
3899,1.070614123,1.070614123
3900,1.068413683,1.068413683
3901,1.066213243,1.066213243
3902,1.064012803,1.064012803
3903,1.061812362,1.061812362
3904,1.059611922,1.059611922
3905,1.057411482,1.057411482
3906,1.055211042,1.055211042
3907,1.053010602,1.053010602
3908,1.050810162,1.050810162
